dataset,observable,z_eff,mean,sigma,correlation_partner,correlation
BGS,DV_over_rd,0.295,7.944,0.075,,
LRG1,DM_over_rd,0.51,13.587,0.169,DH_over_rd,-0.475
LRG1,DH_over_rd,0.51,21.863,0.427,DM_over_rd,-0.475
LRG2,DM_over_rd,0.706,17.347,0.18,DH_over_rd,-0.423
LRG2,DH_over_rd,0.706,19.458,0.332,DM_over_rd,-0.423
LRG3+ELG1,DM_over_rd,0.934,21.574,0.153,DH_over_rd,-0.425
LRG3+ELG1,DH_over_rd,0.934,17.641,0.193,DM_over_rd,-0.425
ELG2,DM_over_rd,1.321,27.605,0.32,DH_over_rd,-0.437
ELG2,DH_over_rd,1.321,14.178,0.217,DM_over_rd,-0.437
QSO,DM_over_rd,1.484,30.519,0.758,DH_over_rd,-0.489
QSO,DH_over_rd,1.484,12.816,0.513,DM_over_rd,-0.489
Lya,DM_over_rd,2.33,38.988,0.531,DH_over_rd,-0.431
Lya,DH_over_rd,2.33,8.632,0.101,DM_over_rd,-0.431
