dataset,slice_index,dataset_std,dataset_min,dataset_max,is_effectively_constant,observed_peak_count,predicted_shell_count,mean_abs_error,max_abs_error,mean_relative_error,predicted_radii,observed_radii
field/psi_real,0,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/psi_real,1,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,73,2,0.022876484079673298,0.04542978859794711,0.017892528091315897,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0542115199;0.0636396103;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1626345597;0.1720626501
field/psi_real,2,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,72,2,0.029947551891538804,0.05957192422167812,0.0233842753713272,0.6437903504;1.2875807009,0.0164991582;0.0259272486;0.0353553391;0.0542115199;0.0683536555;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1720626501
field/psi_real,3,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.013448393663852698,0.026573607766305907,0.010570198384634213,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/psi_real,4,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.015159057145008814,0.02999493472861814,0.011898785773357796,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0872098363;0.1013519720;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1673486049
field/psi_real,5,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,74,2,0.029301192768739714,0.05827920597607994,0.02288228033338032,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1154941076;0.1296362432;0.1437783788;0.1532064693;0.1673486049
field/psi_real,6,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,73,2,0.02694417016478451,0.05356516076816953,0.021051697906709858,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1154941076;0.1296362432;0.1390643336;0.1484924240;0.1673486049
field/psi_real,7,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/psi_imag,0,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/psi_imag,1,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,72,2,0.022876484079673298,0.04542978859794711,0.017892528091315897,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0542115199;0.0636396103;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1626345597;0.1720626501
field/psi_imag,2,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,71,2,0.029947551891538804,0.05957192422167812,0.0233842753713272,0.6437903504;1.2875807009,0.0164991582;0.0259272486;0.0353553391;0.0542115199;0.0683536555;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1720626501
field/psi_imag,3,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.013448393663852698,0.026573607766305907,0.010570198384634213,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/psi_imag,4,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.015159057145008814,0.02999493472861814,0.011898785773357796,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0872098363;0.1013519720;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1673486049
field/psi_imag,5,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,74,2,0.029301192768739714,0.05827920597607994,0.02288228033338032,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1154941076;0.1296362432;0.1437783788;0.1532064693;0.1673486049
field/psi_imag,6,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,72,2,0.02694417016478451,0.05356516076816953,0.021051697906709858,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1154941076;0.1296362432;0.1390643336;0.1484924240;0.1673486049
field/psi_imag,7,0.7071067811865476,-0.9999999999982808,0.9999999999982808,False,76,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/helicity_proxy,0,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,77,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/helicity_proxy,1,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,74,2,0.022876484079673298,0.04542978859794711,0.017892528091315897,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0542115199;0.0636396103;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1626345597;0.1720626501
field/helicity_proxy,2,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,70,2,0.029947551891538804,0.05957192422167812,0.0233842753713272,0.6437903504;1.2875807009,0.0164991582;0.0259272486;0.0353553391;0.0542115199;0.0683536555;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1720626501
field/helicity_proxy,3,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,76,2,0.013448393663852698,0.026573607766305907,0.010570198384634213,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0824957911;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/helicity_proxy,4,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,77,2,0.015159057145008814,0.02999493472861814,0.011898785773357796,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0872098363;0.1013519720;0.1107800624;0.1249221980;0.1343502884;0.1484924240;0.1673486049
field/helicity_proxy,5,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,73,2,0.029301192768739714,0.05827920597607994,0.02288228033338032,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1154941076;0.1296362432;0.1437783788;0.1532064693;0.1673486049
field/helicity_proxy,6,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,72,2,0.02694417016478451,0.05356516076816953,0.021051697906709858,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1154941076;0.1296362432;0.1390643336;0.1484924240;0.1673486049
field/helicity_proxy,7,0.3508366705070362,-0.49999999997771233,0.49999999997771233,False,77,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0447834295;0.0589255651;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1484924240;0.1673486049
field/Lz,0,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,64,2,0.015805416267807904,0.026573607766305907,0.01423136323797514,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0494974747;0.0683536555;0.0824957911;0.0919238816;0.1107800624;0.1202081528;0.1343502884;0.1437783788;0.1532064693
field/Lz,1,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,61,2,0.012478854979654008,0.01853300127024171,0.016888538015422134,0.6437903504;1.2875807009,0.0070710678;0.0212132034;0.0353553391;0.0447834295;0.0730677007;0.0966379268;0.1107800624;0.1343502884;0.1532064693;0.1720626501;0.1814907405;0.1909188309
field/Lz,2,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,74,2,0.0033739441252330082,0.0050372247693099,0.004576456066676115,0.6437903504;1.2875807009,0.0164991582;0.0259272486;0.0353553391;0.0542115199;0.0730677007;0.0872098363;0.0966379268;0.1107800624;0.1249221980;0.1390643336;0.1532064693;0.1673486049
field/Lz,3,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,68,2,0.0033739441252328972,0.006424708689066305,0.002745873640005566,0.6437903504;1.2875807009,0.0212132034;0.0306412939;0.0400693843;0.0589255651;0.0730677007;0.0824957911;0.0919238816;0.1107800624;0.1202081528;0.1343502884;0.1532064693;0.1673486049
field/Lz,4,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,67,2,0.004020303248031987,0.0050372247693099,0.00507845110462291,0.6437903504;1.2875807009,0.0117851130;0.0306412939;0.0400693843;0.0494974747;0.0683536555;0.0777817459;0.0919238816;0.1013519720;0.1107800624;0.1249221980;0.1390643336;0.1484924240
field/Lz,5,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,64,2,0.0010169215212778027,0.001710663481156116,0.0009152912133351886,0.6437903504;1.2875807009,0.0070710678;0.0164991582;0.0259272486;0.0447834295;0.0589255651;0.0730677007;0.0919238816;0.1060660172;0.1202081528;0.1296362432;0.1437783788;0.1579205145
field/Lz,6,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,66,2,0.004020303248031987,0.0050372247693099,0.00507845110462291,0.6437903504;1.2875807009,0.0164991582;0.0306412939;0.0400693843;0.0494974747;0.0636396103;0.0777817459;0.1013519720;0.1154941076;0.1343502884;0.1579205145;0.1814907405;0.2097750118
field/Lz,7,2.3304306877372256e-13,0.999999833332655,0.9999998333338194,True,64,2,0.015805416267807904,0.026573607766305907,0.01423136323797514,0.6437903504;1.2875807009,0.0306412939;0.0400693843;0.0589255651;0.0683536555;0.0824957911;0.0966379268;0.1107800624;0.1296362432;0.1437783788;0.1767766953;0.1909188309;0.2050609665
