source_key,source_file,source_lines,theme,extracted_equation,interpretation,registry_ids
vimana_config_space,D:\Tex\vimana_gyromagnetic_analysis.tex,31-47,Configuration-space model,"\mathcal{M}=T^*(SO(3)\times\mathbb{R}^3)\otimes\mathfrak{u}(1)_{gauge}; \Psi(t)=(r_cm,\omega_gyro,\mu_constrained,L_mech)^T","Formal state skeleton: position, angular velocity, constrained magnetic moment, and mechanical angular momentum live in a bundle/phase-space model.",ID10146; ID0092; ID0093
vimana_opposing_dipoles,D:\Tex\vimana_gyromagnetic_analysis.tex,49-55,Opposing magnetic dipoles,\mu_eff=\mu_1+\mu_2+(\hbar/(2m_e c)) (\nabla\times(\mu_1\times\mu_2))/(4\pi\varepsilon_0 c^2 d(t)^3),Compressed opposing dipoles produce an effective moment plus a short-distance quantum correction that grows as separation shrinks.,ID0044; ID0045; ID10131
vimana_rotating_metric,D:\Tex\vimana_gyromagnetic_analysis.tex,57-70,Frame-dragging / rotating metric correction,"g_{\mu\nu}[\omega]=\eta_{\mu\nu}+h_{\mu\nu}^{rotation}; h\sim c^{-2}[(\omega\times r)^2, -(\omega\times r)]",Rotating-frame correction vanishes at zero rotation and grows with rim-speed scale omega R / c.,ID9940; ID10145; ID10272
vimana_vector_potential_helicity,D:\Tex\vimana_gyromagnetic_analysis.tex,74-95,Magnetic vortex and helicity structure,"A_total=A_dipole+A_gyro+A_induced; H(t)=\int A\cdot B\,d^3r-(\omega_gyro/c^2)\int r\times(E\times B)\,d^3r","Dipole, gyroscopic, and induced potentials are collected into a vortex field whose helicity supplies a topological invariant.",ID9758; ID9760; ID9761; ID10760
vimana_gravitomagnetic_coupling,D:\Tex\vimana_gyromagnetic_analysis.tex,97-104,Gravitomagnetic coupling,B_gravitomagnetic=(2G/c^2)((\omega\times r)/r^3)\int_V \rho(r')|r'|^2 d^3r' ; \omega R\to c,"Weak gravitomagnetic term emerges only in the high tangential-velocity regime; this is a bridge condition, not a low-speed claim.",ID10272; ID10145; ID10264
ogu_elsasser_manifold,D:\Tex\TEX_20260224_182530\Our_Gyromagnetic_Universe.tex,64-76,Our Gyromagnetic Universe: Elsasser attractor,\Lambda=B^2/(\rho\mu_0\eta\Omega); \dot\Lambda=-\kappa(\Lambda-1)+\chi\delta S(t),"The lab/astro movement mechanism is an attractor toward magnetic-Coriolis balance, not merely free inertial spin.",ID0038; ID0039; ID0040
ogu_scaling_functor,D:\Tex\TEX_20260224_182530\Our_Gyromagnetic_Universe.tex,78-83; 104-107,Our Gyromagnetic Universe: lab-to-astro bridge,B\propto \sqrt\rho L^{1/2}\Omega; \mu\propto MR^2\Omega; F:Lab\to Astro,The same dimensionless movement law can be transported from laboratory gyromagnetic systems to astrophysical rotation if scale invariants are preserved.,ID0044; ID0089; ID0090
ogu_magnetoacoustic_gateway,D:\Tex\TEX_20260224_182530\Our_Gyromagnetic_Universe.tex,92-96,Our Gyromagnetic Universe: acoustic dimensional gateway,\delta\Lambda(\omega)=\alpha U(\omega)/(\kappa+i\omega),"Driven acoustic boundaries modulate the Elsasser state, connecting Well/Wall/Wave cavity motion to gyromagnetic rotation.",ID0252; ID9513; ID10018
ogu_spin_field_hamiltonian,D:\Tex\TEX_20260224_182530\Our_Gyromagnetic_Universe.tex,98-101,Our Gyromagnetic Universe: spin-field coevolution,T^*SO(3)\times\mathbb{R}^n; \tau=\mu\times B,The orbital/movement mechanism is torque-driven spin-field evolution on a rotational phase space.,ID0037; ID0085; ID0087
validation_gyro_topos,D:\Tex\gyromagnetic_validation.tex,220-275; 381-410,Gyromagnetic validation: categorical and metric bridge,FrameDragging:GyroscopicModes\to SpacetimeMetric; HelicityPreservation:MagneticStates\to TopologicalInvariants; G_{\mu\nu}=T_EM+T_top,Validation paper supplies the morphism-level bridge from gyroscopic modes to spacetime metrics and helicity/topological invariants.,ID0089; ID0092; ID10264
